Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Start_Date,Loan_Amount,Interest_Rate,Tenure_Months,Outstanding_Amount,Loan_Status
LOAN00138,CUST04356,BR021,Education Loan,2022-11-05,1457046.05,10.21,120,1153959.56,Active
LOAN00139,CUST07625,BR011,Business Loan,2025-01-21,3223109.95,10.59,24,3016710.57,Closed
LOAN00140,CUST03341,BR028,Business Loan,2021-08-10,1920783.19,9.25,36,683160.07,Closed
LOAN00141,CUST03042,BR050,Home Loan,2025-01-07,3074890.24,8.58,24,915375.21,Active
LOAN00142,CUST06532,BR014,Business Loan,2024-09-09,1862793.38,13.12,120,1857760.53,Pending
LOAN00143,CUST00650,BR024,Personal Loan,2022-12-02,544377.63,13.73,36,155236.72,Closed
LOAN00144,CUST02327,BR019,Personal Loan,2022-04-08,575781.72,8.89,240,275335.36,Defaulted
LOAN00145,CUST05610,BR039,Personal Loan,2024-01-02,71395.7,14.33,60,41678.31,Active
LOAN00146,CUST03220,BR025,Personal Loan,2022-03-23,781700.73,9.57,48,172777.79,Defaulted
LOAN00147,CUST07362,BR032,Home Loan,2025-12-29,4627844.12,10.07,120,2053912.46,Closed
LOAN00148,CUST00063,BR021,Education Loan,2025-05-22,1102967.81,15.07,240,447299.94,Active
LOAN00149,CUST00290,BR053,Auto Loan,2021-06-01,1027471.31,8.23,12,308292.02,Defaulted
LOAN00150,CUST06440,BR048,Home Loan,2020-10-11,3859796.13,13.32,36,3144116.9,Active
LOAN00151,CUST00811,BR040,Auto Loan,2021-06-03,1859819.98,10.01,36,1284188.75,Defaulted
LOAN00152,CUST03819,BR050,Home Loan,2022-09-08,7432316.19,8.15,36,3837393.95,Defaulted
LOAN00153,CUST07444,BR050,Personal Loan,2022-06-14,645129.16,11.93,48,485744.5,Defaulted
LOAN00154,CUST01290,BR048,Auto Loan,2023-09-04,983110.79,7.54,84,105194.26,Defaulted
LOAN00155,CUST02152,BR047,Home Loan,2023-05-06,5349460.5,8.97,24,2822145.9,Active
LOAN00156,CUST07268,BR038,Education Loan,2025-11-12,140589.17,7.9,48,115394.36,Active
LOAN00157,CUST01626,BR026,Personal Loan,2022-06-19,159175.34,11.87,84,119195.06,Closed
LOAN00158,CUST02647,BR051,Home Loan,2024-12-08,916404.48,10.38,36,676814.7,Closed
LOAN00159,CUST01856,BR020,Education Loan,2022-06-13,952715.58,15.49,60,239451.21,Closed
LOAN00160,CUST03895,BR052,Business Loan,2023-06-23,4143328.25,8.63,120,1982098.69,Pending
LOAN00161,CUST04119,BR052,Auto Loan,2024-04-21,811499.39,15.49,36,611427.79,Defaulted
LOAN00162,CUST06331,BR030,Personal Loan,2024-08-31,256967.72,7.15,180,42972.21,Active
LOAN00163,CUST03293,BR028,Home Loan,2023-03-30,6721552.38,7.92,60,3837172.9,Closed
LOAN00164,CUST07405,BR044,Auto Loan,2021-05-04,1122978.34,7.82,36,641588.55,Closed
LOAN00165,CUST02442,BR001,Personal Loan,2025-09-23,670915.91,10.54,84,143408.51,Active
LOAN00166,CUST02420,BR052,Education Loan,2022-07-15,254891.35,11.57,84,218892.3,Closed
LOAN00167,CUST01960,BR027,Personal Loan,2025-03-06,621546.31,7.46,24,563200.73,Active
LOAN00168,CUST04900,BR027,Auto Loan,2021-12-28,442777.9,11.01,48,430866.28,Closed
LOAN00169,CUST07148,BR049,Education Loan,2024-06-22,405712.11,9.76,36,343533.7,Pending
LOAN00170,CUST00495,BR004,Auto Loan,2020-11-25,856268.39,8.71,48,706623.8,Defaulted
LOAN00171,CUST01145,BR038,Personal Loan,2020-01-02,155845.12,13.15,48,51215.07,Closed
LOAN00172,CUST07349,BR049,Home Loan,2023-10-08,1339746.82,13.61,60,205960.29,Pending
LOAN00173,CUST03518,BR014,Home Loan,2021-01-01,839888.03,8.31,84,703931.97,Active
LOAN00174,CUST06425,BR007,Personal Loan,2022-10-14,643274.9,11.66,60,439673.23,Active
LOAN00175,CUST00913,BR036,Business Loan,2024-12-16,1890664.11,7.33,48,1142803.09,Closed
LOAN00176,CUST02819,BR004,Education Loan,2023-04-12,403208.48,13.87,12,33847.13,Active
LOAN00177,CUST04920,BR037,Auto Loan,2024-04-21,1938563.07,9.83,240,1761421.58,Pending
LOAN00178,CUST03887,BR037,Education Loan,2024-04-27,679235.67,15.27,180,117349.35,Active
LOAN00179,CUST00483,BR058,Business Loan,2021-02-24,1912242.08,9.13,48,1464717.67,Active
LOAN00180,CUST01386,BR010,Home Loan,2025-06-15,5381558.61,10.76,24,4400474.66,Pending
LOAN00181,CUST00180,BR027,Education Loan,2021-12-28,828201.9,14.08,24,574318.96,Defaulted
LOAN00182,CUST05029,BR052,Home Loan,2023-11-25,5726718.84,10.93,180,5566821.41,Pending
LOAN00183,CUST04643,BR058,Personal Loan,2022-07-02,551330.58,14.44,48,387148.12,Active
LOAN00184,CUST07637,BR034,Business Loan,2024-04-01,2211643.74,8.11,48,1818038.83,Pending
LOAN00185,CUST05847,BR026,Auto Loan,2022-07-24,1216333.07,10.0,240,976866.93,Pending
LOAN00186,CUST00792,BR001,Education Loan,2023-03-07,1211234.62,7.29,120,278129.19,Pending
LOAN00187,CUST05311,BR008,Auto Loan,2023-10-19,1361100.11,7.88,120,681844.15,Closed
LOAN00188,CUST05686,BR030,Education Loan,2024-04-13,1110413.35,9.3,180,1037310.89,Closed
LOAN00189,CUST02259,BR010,Auto Loan,2022-09-17,1885811.07,9.16,120,235853.35,Active
LOAN00190,CUST03468,BR050,Education Loan,2021-03-09,422243.93,9.22,240,220974.44,Closed
LOAN00191,CUST06724,BR025,Auto Loan,2021-01-28,1791175.37,14.28,48,1049086.84,Pending
LOAN00192,CUST02197,BR033,Home Loan,2024-11-17,3506614.5,10.48,120,1335685.33,Defaulted
LOAN00193,CUST00555,BR054,Auto Loan,2024-07-05,480884.12,15.02,120,72523.99,Pending
LOAN00194,CUST02568,BR005,Education Loan,2020-06-18,1341112.62,10.17,48,907590.83,Active
LOAN00195,CUST07948,BR035,Education Loan,2020-04-19,416567.41,8.82,36,158725.03,Active
LOAN00196,CUST02711,BR027,Auto Loan,2024-08-14,710600.5,10.62,180,329843.8,Closed
LOAN00197,CUST00247,BR035,Personal Loan,2021-07-24,458003.89,15.17,240,307075.62,Pending
LOAN00198,CUST04231,BR041,Auto Loan,2021-03-06,1636632.55,13.27,24,1293376.34,Defaulted
LOAN00199,CUST02858,BR010,Business Loan,2024-12-23,1485668.93,8.94,120,1227213.49,Closed
LOAN00200,CUST03722,BR017,Auto Loan,2020-04-28,1659899.37,13.32,24,334183.58,Active
LOAN00201,CUST02261,BR020,Home Loan,2020-11-06,4664752.13,10.9,60,2945290.28,Closed
LOAN00202,CUST01140,BR030,Auto Loan,2024-02-28,1751142.83,14.16,12,1044391.96,Pending
LOAN00203,CUST03260,BR059,Home Loan,2022-11-11,5485988.38,8.87,120,2443619.14,Active
LOAN00204,CUST03486,BR047,Business Loan,2024-09-15,1725415.62,7.38,240,1339803.07,Active
LOAN00205,CUST01343,BR005,Education Loan,2022-01-01,1413579.12,13.43,60,1304889.63,Pending
LOAN00206,CUST02053,BR059,Auto Loan,2023-02-08,826469.52,13.06,84,399707.05,Active
LOAN00207,CUST04912,BR018,Auto Loan,2025-09-13,1380320.27,12.14,84,844771.11,Pending
LOAN00208,CUST00408,BR055,Auto Loan,2024-09-12,370888.19,13.0,48,324787.81,Active
LOAN00209,CUST04276,BR025,Home Loan,2024-07-22,4790907.13,7.36,24,3060087.98,Closed
LOAN00210,CUST06086,BR059,Auto Loan,2024-01-26,1675877.95,11.76,84,290940.15,Defaulted
LOAN00211,CUST03487,BR019,Business Loan,2021-09-06,1088398.28,8.28,24,1067130.02,Closed
LOAN00212,CUST02367,BR001,Education Loan,2021-12-19,828656.5,11.44,24,161078.43,Closed
LOAN00213,CUST04006,BR031,Business Loan,2025-04-06,2556322.67,11.85,240,2077208.11,Pending
LOAN00214,CUST01212,BR057,Education Loan,2022-12-23,597748.04,14.61,60,211469.35,Active
LOAN00215,CUST02326,BR042,Business Loan,2021-09-14,4373106.77,11.44,24,1090975.09,Closed
LOAN00216,CUST02236,BR037,Education Loan,2021-02-27,230309.45,8.13,180,57167.24,Pending
LOAN00217,CUST01430,BR037,Education Loan,2023-02-25,566425.59,11.0,240,214139.32,Closed
LOAN00218,CUST02759,BR004,Auto Loan,2024-02-13,1460242.92,9.18,180,1417655.01,Closed
LOAN00219,CUST00705,BR012,Education Loan,2022-02-27,135147.39,8.03,240,43242.52,Defaulted
LOAN00220,CUST02825,BR004,Auto Loan,2020-01-04,585024.18,13.0,84,162425.26,Pending
LOAN00221,CUST07091,BR054,Auto Loan,2020-08-27,1843080.71,10.5,120,551868.2,Pending
LOAN00222,CUST04104,BR028,Business Loan,2025-08-16,2708123.92,7.98,48,1902867.28,Active
LOAN00223,CUST06803,BR040,Business Loan,2023-03-20,1341851.51,11.4,180,1302577.79,Defaulted
LOAN00224,CUST04679,BR004,Business Loan,2021-11-21,2430614.75,13.44,48,306268.22,Pending
LOAN00225,CUST02183,BR053,Personal Loan,2023-12-19,456069.24,8.3,36,440387.72,Defaulted
LOAN00226,CUST04517,BR002,Personal Loan,2022-09-26,607636.18,14.83,24,371641.1,Defaulted
LOAN00227,CUST02746,BR037,Auto Loan,2024-12-22,1720735.33,13.81,84,144312.53,Active
LOAN00228,CUST05884,BR057,Education Loan,2022-03-05,642920.92,8.78,120,428392.88,Closed
LOAN00229,CUST04580,BR006,Personal Loan,2024-05-29,168591.59,10.65,180,94965.38,Defaulted
LOAN00230,CUST02329,BR029,Home Loan,2023-04-09,4496965.03,12.4,12,3170821.39,Pending
LOAN00231,CUST01843,BR014,Home Loan,2022-09-05,1916693.46,14.64,240,1752835.99,Defaulted
LOAN00232,CUST00952,BR055,Auto Loan,2025-07-17,808637.32,13.17,120,756339.23,Closed
LOAN00233,CUST06928,BR032,Personal Loan,2025-01-21,634625.39,8.3,12,379287.67,Pending
LOAN00234,CUST00395,BR040,Auto Loan,2020-06-04,1771721.57,11.19,180,226316.06,Pending
LOAN00235,CUST01386,BR034,Personal Loan,2021-07-05,754905.38,7.94,240,122290.07,Closed
LOAN00236,CUST06533,BR025,Business Loan,2022-01-18,2140302.1,13.22,120,1157535.21,Active
LOAN00237,CUST02465,BR053,Business Loan,2020-10-29,4912121.07,8.82,60,1889290.94,Closed
LOAN00238,CUST02744,BR006,Education Loan,2025-08-02,458107.53,15.0,12,248042.47,Defaulted
LOAN00239,CUST07978,BR021,Personal Loan,2020-08-17,255470.39,15.48,180,188944.64,Pending
LOAN00240,CUST05410,BR034,Auto Loan,2022-02-28,1530944.34,9.41,12,1217627.13,Closed
LOAN00241,CUST06707,BR010,Education Loan,2024-02-28,1112917.34,9.15,180,962124.78,Pending
LOAN00242,CUST06895,BR054,Education Loan,2025-11-02,355194.86,14.63,240,208591.74,Closed
LOAN00243,CUST06685,BR002,Home Loan,2023-05-20,2780726.96,11.4,180,2723152.17,Active
LOAN00244,CUST01085,BR028,Education Loan,2025-12-13,1047135.96,8.0,48,667616.95,Pending
LOAN00245,CUST02513,BR043,Auto Loan,2022-05-17,1188601.36,8.88,60,627596.14,Closed
LOAN00246,CUST05066,BR035,Personal Loan,2021-09-02,304289.43,13.57,36,207792.4,Active
LOAN00247,CUST07834,BR031,Auto Loan,2025-04-04,1056276.21,12.71,180,599284.91,Pending
LOAN00248,CUST00166,BR019,Home Loan,2024-09-14,1911015.83,14.54,180,268421.1,Defaulted
LOAN00249,CUST07817,BR057,Education Loan,2021-09-25,595430.56,7.99,36,288247.4,Defaulted
LOAN00250,CUST04495,BR021,Home Loan,2021-11-29,3318748.83,11.2,48,205336.98,Closed
LOAN00251,CUST06856,BR030,Business Loan,2020-01-05,1065860.78,14.12,60,940882.61,Closed
LOAN00252,CUST06983,BR003,Education Loan,2024-08-15,599767.94,9.88,240,185544.88,Active
LOAN00253,CUST06522,BR032,Personal Loan,2020-11-10,384661.43,11.0,36,318681.88,Pending
LOAN00254,CUST03001,BR058,Home Loan,2021-10-20,5076391.71,11.56,240,4818941.59,Defaulted
LOAN00255,CUST00754,BR018,Personal Loan,2020-09-18,345043.47,8.4,36,50301.48,Pending
LOAN00256,CUST03334,BR016,Personal Loan,2021-09-28,194469.52,10.26,12,70807.37,Closed
LOAN00257,CUST07456,BR031,Business Loan,2021-02-19,1598898.66,11.94,48,934437.14,Defaulted
LOAN00258,CUST05449,BR025,Home Loan,2022-07-25,3064412.02,7.78,180,1841337.39,Closed
LOAN00259,CUST06153,BR035,Personal Loan,2020-03-29,72121.98,9.05,24,26288.46,Defaulted
LOAN00260,CUST03592,BR055,Auto Loan,2025-02-13,684620.63,14.72,240,266995.7,Defaulted
LOAN00261,CUST04732,BR002,Personal Loan,2025-03-06,415212.78,12.58,60,115086.14,Closed
LOAN00262,CUST00365,BR039,Home Loan,2022-04-19,4979160.63,7.17,240,1406226.56,Pending
LOAN00263,CUST01274,BR039,Home Loan,2024-12-09,7986214.95,14.36,120,1287090.88,Active
LOAN00264,CUST00786,BR001,Business Loan,2024-03-09,4795289.34,14.4,24,761791.9,Active
LOAN00265,CUST00797,BR036,Home Loan,2022-01-20,2965263.26,11.27,84,1320939.82,Active
LOAN00266,CUST01573,BR006,Auto Loan,2020-03-03,202778.78,14.19,60,69079.31,Defaulted
LOAN00267,CUST00723,BR033,Business Loan,2020-12-04,1539015.79,14.52,240,815918.49,Defaulted
LOAN00268,CUST01550,BR046,Education Loan,2021-11-28,1076110.67,7.44,36,465311.78,Closed
