Account_ID,Customer_ID,Branch_ID,Account_Type,Opening_Date,Current_Balance,Account_Status
ACC00047,CUST03425,BR030,Salary,2025-04-02,9677.44,Closed
ACC00048,CUST07529,BR023,Current,2022-01-29,104518.8,Closed
ACC00049,CUST02908,BR039,Fixed Deposit,2024-11-16,73583.12,Closed
ACC00050,CUST00750,BR049,Salary,2019-09-20,3888.86,Active
ACC00051,CUST07179,BR057,Savings,2020-10-21,29486.14,Closed
ACC00052,CUST01189,BR051,Current,2022-05-06,24708.87,Active
ACC00053,CUST05900,BR011,Savings,2025-02-09,11977.32,Dormant
ACC00054,CUST06033,BR014,Savings,2020-01-18,38196.86,Active
ACC00055,CUST07196,BR054,Savings,2019-06-02,55709.14,Active
ACC00056,CUST05297,BR004,Savings,2020-11-09,50927.18,Closed
ACC00057,CUST02711,BR025,Savings,2019-04-29,10349.61,Active
ACC00058,CUST04885,BR013,Current,2025-07-09,26656.48,Dormant
ACC00059,CUST07134,BR033,Savings,2021-01-18,29677.28,Active
ACC00060,CUST01391,BR002,Salary,2022-12-27,26446.57,Active
ACC00061,CUST00412,BR002,Salary,2020-12-06,9552.69,Dormant
ACC00062,CUST02927,BR026,Current,2019-12-10,30162.09,Closed
ACC00063,CUST03542,BR001,Savings,2020-10-25,8137.99,Active
ACC00064,CUST06685,BR041,Salary,2021-12-24,5782.87,Active
ACC00065,CUST04316,BR031,Savings,2021-08-04,45764.92,Dormant
ACC00066,CUST06975,BR016,Savings,2021-07-22,74653.75,Dormant
ACC00067,CUST05046,BR027,Savings,2024-06-21,20644.22,Dormant
ACC00068,CUST01936,BR001,Savings,2025-07-31,54348.9,Dormant
ACC00069,CUST03129,BR049,Savings,2021-02-02,30499.71,Dormant
ACC00070,CUST01124,BR030,Current,2025-10-23,19051.1,Dormant
ACC00071,CUST07406,BR025,Savings,2021-11-25,30493.11,Closed
ACC00072,CUST04492,BR006,Savings,2025-06-26,87924.42,Active
ACC00073,CUST02247,BR010,Salary,2021-08-04,13028.85,Dormant
ACC00074,CUST02970,BR050,Savings,2022-06-24,90055.31,Active
ACC00075,CUST06515,BR020,Savings,2022-05-02,2084.39,Active
ACC00076,CUST00833,BR016,Current,2025-04-16,82611.36,Dormant
ACC00077,CUST05726,BR036,Savings,2025-11-12,23821.47,Dormant
ACC00078,CUST01974,BR046,Salary,2024-03-07,10836.71,Active
ACC00079,CUST04215,BR060,Current,2021-02-06,39805.52,Closed
ACC00080,CUST07260,BR019,Savings,2025-01-07,3681.91,Closed
ACC00081,CUST05143,BR035,Salary,2024-09-05,11455.55,Dormant
ACC00082,CUST03372,BR044,Savings,2019-02-03,30375.79,Active
ACC00083,CUST05397,BR035,Salary,2020-08-31,37591.22,Active
ACC00084,CUST01245,BR049,Savings,2022-03-20,13815.64,Closed
ACC00085,CUST00743,BR026,Savings,2025-03-20,10639.79,Closed
ACC00086,CUST02947,BR046,Savings,2023-02-15,14022.5,Dormant
ACC00087,CUST04649,BR055,Savings,2025-01-22,50204.6,Dormant
ACC00088,CUST06779,BR003,Savings,2020-07-08,29610.25,Active
ACC00089,CUST04242,BR030,Savings,2025-11-18,13673.51,Dormant
ACC00090,CUST05961,BR003,Salary,2025-02-22,19135.25,Closed
ACC00091,CUST04486,BR034,Savings,2021-08-07,24037.49,Closed
ACC00092,CUST06977,BR024,Current,2019-02-05,95668.56,Active
ACC00093,CUST06011,BR052,Savings,2025-06-14,11709.46,Closed
ACC00094,CUST05687,BR003,Fixed Deposit,2025-03-10,49187.89,Active
ACC00095,CUST01864,BR022,Current,2021-04-15,24535.88,Closed
ACC00096,CUST05832,BR025,Salary,2020-08-08,4796.01,Dormant
ACC00097,CUST05612,BR019,Savings,2021-01-22,28753.31,Dormant
ACC00098,CUST02733,BR024,Savings,2023-02-03,27860.07,Closed
ACC00099,CUST04023,BR043,Savings,2021-07-27,22128.07,Dormant
ACC00100,CUST05401,BR023,Salary,2024-05-19,11336.57,Active
ACC00101,CUST03780,BR018,Fixed Deposit,2025-02-28,25611.01,Dormant
ACC00102,CUST03731,BR060,Current,2021-01-30,23845.59,Dormant
ACC00103,CUST00352,BR057,Savings,2025-09-18,16180.42,Dormant
ACC00104,CUST07572,BR057,Fixed Deposit,2023-03-28,36998.54,Active
ACC00105,CUST03685,BR015,Savings,2023-07-03,19050.39,Active
ACC00106,CUST03433,BR046,Savings,2022-04-05,31686.49,Dormant
ACC00107,CUST06012,BR044,Savings,2024-06-27,120278.76,Dormant
ACC00108,CUST00039,BR039,Salary,2020-10-04,15096.29,Dormant
ACC00109,CUST00245,BR010,Current,2024-02-08,46983.44,Closed
ACC00110,CUST00448,BR002,Salary,2024-01-07,12681.35,Active
ACC00111,CUST00882,BR002,Savings,2022-04-28,3917.1,Closed
ACC00112,CUST00435,BR058,Salary,2021-03-07,13114.06,Active
ACC00113,CUST07757,BR023,Current,2024-09-13,38570.01,Dormant
ACC00114,CUST04614,BR040,Salary,2024-09-19,74926.99,Active
ACC00115,CUST00508,BR050,Savings,2020-02-09,18524.98,Dormant
ACC00116,CUST04302,BR020,Savings,2025-10-10,28894.1,Dormant
ACC00117,CUST03174,BR044,Fixed Deposit,2022-09-09,58640.04,Dormant
ACC00118,CUST00604,BR045,Savings,2022-02-09,7693.95,Closed
ACC00119,CUST01430,BR010,Current,2019-08-31,113871.15,Dormant
ACC00120,CUST06275,BR040,Savings,2025-03-28,43336.03,Active
ACC00121,CUST06424,BR047,Savings,2020-10-11,44888.13,Closed
ACC00122,CUST06336,BR040,Savings,2020-08-13,9716.21,Closed
ACC00123,CUST00635,BR036,Savings,2023-12-22,77848.11,Closed
ACC00124,CUST06964,BR010,Savings,2025-07-05,6237.5,Dormant
ACC00125,CUST03957,BR021,Savings,2024-02-04,37353.11,Dormant
ACC00126,CUST05802,BR024,Current,2025-03-29,324634.63,Dormant
ACC00127,CUST01837,BR029,Current,2024-12-08,13486.76,Dormant
ACC00128,CUST02737,BR038,Salary,2020-03-26,8987.51,Active
ACC00129,CUST06309,BR034,Current,2024-05-25,40120.85,Closed
ACC00130,CUST01073,BR019,Salary,2020-04-10,9391.56,Closed
ACC00131,CUST05996,BR029,Savings,2023-11-11,5455.63,Active
ACC00132,CUST01784,BR031,Current,2024-02-10,38892.74,Dormant
ACC00133,CUST07789,BR029,Savings,2023-08-14,8466.96,Dormant
ACC00134,CUST05910,BR014,Savings,2023-04-28,33733.04,Closed
ACC00135,CUST04251,BR008,Savings,2019-09-26,9628.84,Dormant
ACC00136,CUST07831,BR043,Salary,2021-06-29,39535.49,Dormant
ACC00137,CUST02528,BR004,Savings,2023-05-24,10884.25,Active
ACC00138,CUST00377,BR045,Fixed Deposit,2020-12-22,49353.46,Closed
ACC00139,CUST04413,BR010,Fixed Deposit,2019-04-29,97549.02,Dormant
ACC00140,CUST02519,BR041,Fixed Deposit,2022-08-11,28609.14,Closed
ACC00141,CUST05056,BR027,Savings,2022-02-15,27030.31,Active
ACC00142,CUST05250,BR016,Fixed Deposit,2020-08-08,131174.75,Dormant
ACC00143,CUST02815,BR039,Fixed Deposit,2020-03-20,22822.68,Closed
ACC00144,CUST01057,BR016,Current,2019-10-26,43679.49,Dormant
ACC00145,CUST05410,BR044,Savings,2020-11-24,27830.69,Active
ACC00146,CUST06649,BR023,Savings,2022-11-04,44517.63,Dormant
ACC00147,CUST07845,BR050,Savings,2020-04-25,7235.42,Dormant
ACC00148,CUST01795,BR020,Savings,2020-08-30,6711.58,Dormant
ACC00149,CUST00500,BR004,Savings,2023-04-15,35233.32,Closed
ACC00150,CUST04950,BR058,Salary,2020-06-03,16446.85,Active
ACC00151,CUST02857,BR005,Savings,2021-10-25,27596.48,Closed
ACC00152,CUST06357,BR005,Savings,2022-05-27,30085.64,Closed
ACC00153,CUST06398,BR051,Current,2020-07-14,18397.6,Closed
ACC00154,CUST04452,BR013,Savings,2022-03-06,27147.18,Active
ACC00155,CUST04237,BR016,Savings,2020-07-08,28674.55,Dormant
ACC00156,CUST00498,BR027,Savings,2024-05-29,11580.57,Closed
ACC00157,CUST05959,BR042,Savings,2025-09-25,118089.38,Dormant
ACC00158,CUST03245,BR019,Savings,2023-06-09,33740.35,Closed
ACC00159,CUST00876,BR032,Salary,2019-07-10,5802.75,Active
ACC00160,CUST06397,BR056,Savings,2020-12-10,39771.2,Active
ACC00161,CUST01858,BR019,Savings,2024-02-26,9161.7,Closed
ACC00162,CUST03745,BR038,Fixed Deposit,2020-09-14,96014.14,Closed
ACC00163,CUST06124,BR006,Fixed Deposit,2020-03-07,119989.24,Dormant
ACC00164,CUST00487,BR003,Savings,2022-03-24,10523.71,Dormant
ACC00165,CUST07043,BR040,Savings,2025-12-19,52419.74,Active
ACC00166,CUST00775,BR011,Salary,2020-05-10,17835.51,Dormant
ACC00167,CUST01393,BR054,Savings,2025-01-12,46159.32,Dormant
ACC00168,CUST07430,BR002,Savings,2019-05-22,121432.48,Closed
ACC00169,CUST07369,BR037,Savings,2020-01-08,17661.65,Dormant
ACC00170,CUST01394,BR008,Savings,2025-10-25,11177.27,Closed
ACC00171,CUST06789,BR032,Savings,2024-11-11,9891.56,Dormant
ACC00172,CUST05908,BR012,Savings,2023-07-06,10569.95,Closed
ACC00173,CUST06927,BR006,Savings,2021-09-13,20549.84,Dormant
ACC00174,CUST04550,BR035,Fixed Deposit,2022-01-21,73474.32,Closed
ACC00175,CUST03162,BR041,Current,2019-03-14,47891.38,Dormant
ACC00176,CUST06221,BR021,Savings,2023-05-05,46372.64,Active
ACC00177,CUST06273,BR048,Savings,2020-10-17,22285.73,Closed
ACC00178,CUST02870,BR015,Savings,2024-06-21,81485.52,Dormant
ACC00179,CUST04954,BR011,Current,2019-10-03,27871.03,Closed
ACC00180,CUST07855,BR031,Fixed Deposit,2019-10-29,306232.99,Closed
ACC00181,CUST01653,BR059,Salary,2021-08-14,20701.62,Dormant
ACC00182,CUST06311,BR019,Savings,2020-04-25,10183.85,Active
ACC00183,CUST01996,BR008,Savings,2020-08-02,8401.76,Closed
ACC00184,CUST07630,BR032,Salary,2023-11-25,18727.17,Closed
ACC00185,CUST06475,BR019,Savings,2024-05-20,18013.62,Closed
ACC00186,CUST06466,BR060,Savings,2025-05-28,41881.54,Closed
ACC00187,CUST05372,BR037,Salary,2022-02-17,18606.5,Closed
ACC00188,CUST03883,BR039,Salary,2019-03-16,12695.71,Active
ACC00189,CUST00328,BR047,Savings,2024-04-28,10279.28,Closed
ACC00190,CUST04992,BR008,Savings,2024-10-03,5634.35,Dormant
ACC00191,CUST05867,BR001,Savings,2024-03-10,14737.29,Dormant
ACC00192,CUST03597,BR004,Salary,2021-11-20,24330.33,Dormant
ACC00193,CUST06939,BR001,Current,2019-05-02,44985.42,Closed
ACC00194,CUST06179,BR021,Savings,2023-10-10,7178.42,Closed
ACC00195,CUST05314,BR006,Savings,2019-02-20,25741.58,Dormant
ACC00196,CUST04800,BR048,Savings,2019-04-01,31156.73,Active
ACC00197,CUST02820,BR019,Savings,2023-08-24,9942.05,Active
ACC00198,CUST02848,BR032,Savings,2025-04-02,25294.76,Closed
ACC00199,CUST07056,BR043,Savings,2023-12-21,23211.15,Dormant
ACC00200,CUST02176,BR020,Savings,2019-11-03,7874.04,Active
ACC00201,CUST06243,BR034,Fixed Deposit,2020-06-15,74211.35,Dormant
ACC00202,CUST04432,BR042,Savings,2021-10-02,36486.81,Closed
ACC00203,CUST02879,BR022,Savings,2021-07-23,58381.02,Dormant
ACC00204,CUST01685,BR016,Savings,2019-08-30,56864.23,Dormant
ACC00205,CUST06261,BR007,Savings,2025-12-05,6374.73,Closed
ACC00206,CUST04199,BR037,Savings,2021-05-05,9470.69,Closed
ACC00207,CUST05682,BR006,Fixed Deposit,2019-02-12,81554.04,Dormant
ACC00208,CUST01768,BR007,Savings,2025-09-07,34975.65,Closed
ACC00209,CUST06042,BR053,Salary,2019-04-25,19159.11,Dormant
ACC00210,CUST06407,BR026,Savings,2019-01-20,706062.01,Closed
ACC00211,CUST02154,BR033,Savings,2024-03-29,36820.18,Active
ACC00212,CUST07059,BR043,Savings,2019-09-01,61206.52,Dormant
ACC00213,CUST07698,BR051,Savings,2021-07-12,51979.34,Closed
ACC00214,CUST01198,BR052,Savings,2025-09-24,39586.84,Active
ACC00215,CUST00437,BR003,Current,2020-04-22,26495.52,Dormant
ACC00216,CUST04940,BR047,Savings,2020-07-18,43611.33,Active
ACC00217,CUST05622,BR025,Current,2019-04-03,16767.11,Closed
ACC00218,CUST07934,BR058,Fixed Deposit,2024-09-26,51943.34,Closed
ACC00219,CUST02290,BR030,Current,2025-11-19,22351.23,Closed
ACC00220,CUST06858,BR042,Savings,2023-04-26,23710.82,Dormant
ACC00221,CUST07407,BR026,Current,2023-09-23,367566.14,Closed
ACC00222,CUST00926,BR001,Current,2019-05-26,5612.41,Active
ACC00223,CUST07341,BR015,Savings,2020-09-27,40848.86,Active
ACC00224,CUST05599,BR055,Savings,2020-11-10,5159.3,Active
ACC00225,CUST01964,BR024,Savings,2022-07-21,14404.0,Dormant
ACC00226,CUST05564,BR032,Fixed Deposit,2024-03-19,115078.57,Closed
ACC00227,CUST00305,BR022,Current,2022-07-22,38726.52,Active
ACC00228,CUST05331,BR005,Fixed Deposit,2025-01-01,31362.03,Dormant
ACC00229,CUST01243,BR003,Savings,2023-07-03,11570.65,Dormant
ACC00230,CUST07091,BR050,Salary,2023-12-13,21498.07,Dormant
ACC00231,CUST03328,BR032,Fixed Deposit,2024-03-20,38629.83,Closed
ACC00232,CUST07484,BR051,Savings,2020-05-18,26763.99,Active
ACC00233,CUST06993,BR001,Savings,2021-11-07,22948.66,Closed
ACC00234,CUST01728,BR039,Savings,2019-01-07,12253.41,Active
ACC00235,CUST03210,BR046,Savings,2020-06-16,151683.24,Closed
ACC00236,CUST02742,BR028,Savings,2025-01-24,38969.21,Dormant
ACC00237,CUST02899,BR029,Savings,2025-07-28,3559.49,Active
ACC00238,CUST03283,BR030,Salary,2019-03-16,15222.32,Dormant
ACC00239,CUST06139,BR005,Current,2024-07-17,18736.21,Dormant
ACC00240,CUST00068,BR001,Savings,2019-11-11,47438.53,Closed
ACC00241,CUST07221,BR020,Current,2021-11-20,16440.11,Active
ACC00242,CUST07169,BR036,Savings,2019-12-28,19865.45,Dormant
ACC00243,CUST06968,BR014,Savings,2019-01-26,34699.78,Active
ACC00244,CUST06162,BR024,Current,2021-05-10,86314.7,Dormant
ACC00245,CUST05492,BR013,Savings,2025-01-28,7478.09,Dormant
ACC00246,CUST05347,BR058,Current,2021-01-23,25990.82,Dormant
ACC00247,CUST02690,BR026,Savings,2019-09-17,14364.99,Closed
ACC00248,CUST03617,BR034,Savings,2024-01-23,12234.36,Dormant
ACC00249,CUST00231,BR007,Salary,2021-03-22,45973.39,Active
ACC00250,CUST06382,BR023,Savings,2025-05-26,31713.05,Closed
ACC00251,CUST07943,BR008,Fixed Deposit,2023-04-24,28098.45,Closed
ACC00252,CUST02909,BR045,Current,2021-08-05,90931.52,Closed
ACC00253,CUST06686,BR024,Savings,2023-07-26,148737.84,Closed
ACC00254,CUST01558,BR049,Current,2019-07-31,101973.19,Dormant
ACC00255,CUST06225,BR046,Savings,2025-06-03,5611.46,Closed
ACC00256,CUST00175,BR017,Salary,2019-01-30,9518.91,Active
ACC00257,CUST05034,BR060,Savings,2025-06-06,68886.81,Dormant
ACC00258,CUST05955,BR052,Current,2024-09-18,17895.96,Active
ACC00259,CUST05791,BR048,Savings,2022-04-06,32841.15,Active
ACC00260,CUST05859,BR012,Savings,2022-06-13,44230.53,Dormant
ACC00261,CUST04066,BR046,Savings,2021-08-16,9564.01,Dormant
ACC00262,CUST05319,BR012,Savings,2022-12-24,20877.5,Closed
ACC00263,CUST00619,BR011,Fixed Deposit,2025-03-31,8563.29,Dormant
ACC00264,CUST06216,BR038,Savings,2025-07-21,8760.88,Closed
ACC00265,CUST01820,BR056,Salary,2024-08-15,11194.77,Active
ACC00266,CUST00845,BR004,Savings,2025-01-15,7165.23,Dormant
ACC00267,CUST04527,BR051,Savings,2020-02-08,95718.82,Closed
ACC00268,CUST00352,BR003,Salary,2021-07-06,4909.37,Dormant
ACC00269,CUST04887,BR003,Savings,2021-01-21,14823.37,Closed
ACC00270,CUST06700,BR041,Savings,2024-03-05,24776.89,Active
ACC00271,CUST05294,BR049,Savings,2019-12-13,80591.3,Dormant
ACC00272,CUST04176,BR010,Savings,2021-05-07,6049.46,Active
ACC00273,CUST01502,BR057,Savings,2022-08-21,62745.83,Closed
ACC00274,CUST04278,BR036,Savings,2022-08-27,22230.26,Dormant
ACC00275,CUST01712,BR039,Salary,2025-10-16,6720.68,Dormant
ACC00276,CUST02192,BR011,Current,2023-06-21,57647.58,Active
ACC00277,CUST04453,BR023,Savings,2020-07-09,26348.16,Closed
ACC00278,CUST03222,BR011,Salary,2023-03-15,8776.63,Closed
ACC00279,CUST05012,BR008,Savings,2021-08-31,23454.6,Dormant
ACC00280,CUST01784,BR051,Current,2023-01-17,24703.16,Closed
ACC00281,CUST06577,BR021,Savings,2020-05-13,24395.78,Dormant
ACC00282,CUST08002,BR011,Fixed Deposit,2024-04-14,89078.96,Active
ACC00283,CUST02026,BR028,Salary,2025-12-07,40546.78,Closed
ACC00284,CUST06730,BR051,Savings,2021-04-13,7229.8,Dormant
ACC00285,CUST01588,BR025,Savings,2019-07-16,150201.05,Active
ACC00286,CUST02827,BR058,Current,2024-04-16,5155.98,Dormant
ACC00287,CUST08003,BR013,Savings,2025-01-30,19213.98,Active
ACC00288,CUST01007,BR035,Savings,2025-02-15,37402.23,Dormant
ACC00289,CUST04374,BR038,Salary,2023-01-03,16263.76,Active
ACC00290,CUST04706,BR007,Savings,2022-03-09,12576.31,Dormant
ACC00291,CUST00412,BR037,Savings,2020-11-18,18264.05,Dormant
ACC00292,CUST06593,BR021,Fixed Deposit,2024-02-15,44542.52,Closed
ACC00293,CUST01250,BR021,Salary,2021-03-26,8843.56,Active
ACC00294,CUST01735,BR002,Savings,2019-05-08,47317.8,Active
ACC00295,CUST03709,BR049,Salary,2022-11-18,17152.7,Dormant
ACC00296,CUST00346,BR055,Salary,2021-08-11,8225.24,Active
ACC00297,CUST05623,BR044,Savings,2019-01-01,49495.64,Active
ACC00298,CUST03421,BR018,Fixed Deposit,2024-02-28,71997.0,Closed
ACC00299,CUST06016,BR024,Current,2023-09-02,81867.89,Active
ACC00300,CUST05115,BR058,Salary,2021-03-21,20759.1,Dormant
ACC00301,CUST00566,BR040,Savings,2022-12-17,10445.27,Closed
ACC00302,CUST07544,BR021,Savings,2020-06-19,13304.23,Closed
ACC00303,CUST07237,BR045,Fixed Deposit,2019-10-13,93748.99,Closed
ACC00304,CUST02367,BR026,Savings,2025-01-11,38151.99,Active
ACC00305,CUST04620,BR052,Salary,2021-04-22,13165.68,Active
ACC00306,CUST07919,BR052,Savings,2019-04-01,24479.58,Dormant
ACC00307,CUST07653,BR005,Savings,2022-07-20,69556.76,Active
ACC00308,CUST00653,BR039,Salary,2023-11-28,8829.91,Dormant
ACC00309,CUST04932,BR060,Savings,2023-12-17,36040.11,Closed
ACC00310,CUST02570,BR002,Salary,2022-05-09,11596.58,Dormant
ACC00311,CUST05242,BR045,Savings,2023-06-28,18107.6,Active
ACC00312,CUST01151,BR021,Salary,2019-06-30,28829.19,Active
ACC00313,CUST07678,BR029,Salary,2022-09-26,23808.35,Closed
ACC00314,CUST00637,BR030,Current,2025-02-16,81920.92,Closed
ACC00315,CUST04862,BR003,Fixed Deposit,2020-12-29,131043.85,Active
ACC00316,CUST06940,BR037,Salary,2021-06-24,13557.6,Dormant
ACC00317,CUST07217,BR002,Salary,2022-02-23,21533.54,Dormant
ACC00318,CUST00147,BR030,Fixed Deposit,2019-03-19,49703.96,Dormant
ACC00319,CUST03549,BR004,Salary,2024-07-12,16762.78,Closed
ACC00320,CUST03115,BR058,Savings,2024-04-19,19591.9,Active
ACC00321,CUST04732,BR055,Salary,2025-04-02,14298.32,Active
ACC00322,CUST07933,BR005,Salary,2020-10-15,20264.18,Closed
ACC00323,CUST06930,BR021,Current,2020-10-12,16022.98,Active
ACC00324,CUST07500,BR053,Savings,2025-09-14,144805.76,Closed
ACC00325,CUST03678,BR051,Savings,2023-11-04,8906.93,Active
ACC00326,CUST05599,BR019,Current,2022-01-05,10783.92,Dormant
ACC00327,CUST00578,BR026,Current,2023-08-13,115625.39,Active
ACC00328,CUST01763,BR032,Savings,2021-12-07,44913.62,Active
ACC00329,CUST06762,BR035,Current,2025-10-16,67786.6,Dormant
ACC00330,CUST04268,BR021,Savings,2022-07-25,38774.22,Closed
ACC00331,CUST00364,BR052,Salary,2024-02-09,13245.69,Closed
ACC00332,CUST02387,BR016,Current,2025-10-16,14805.38,Closed
ACC00333,CUST07192,BR008,Salary,2020-02-19,14087.78,Closed
ACC00334,CUST06066,BR025,Savings,2022-07-14,11974.74,Closed
ACC00335,CUST02303,BR059,Savings,2023-08-08,52976.72,Active
ACC00336,CUST00449,BR037,Current,2020-06-21,31349.16,Closed
ACC00337,CUST06176,BR032,Current,2024-08-11,15906.81,Closed
ACC00338,CUST06710,BR026,Savings,2020-10-05,16494.01,Dormant
ACC00339,CUST00498,BR054,Salary,2025-09-03,17837.39,Active
ACC00340,CUST01558,BR041,Fixed Deposit,2021-06-18,42691.93,Active
ACC00341,CUST01216,BR004,Salary,2025-02-18,7513.42,Active
ACC00342,CUST06538,BR010,Savings,2021-05-29,27427.97,Closed
ACC00343,CUST02315,BR022,Salary,2025-03-26,15858.75,Active
ACC00344,CUST01693,BR017,Current,2024-10-08,21874.06,Dormant
ACC00345,CUST06743,BR053,Savings,2022-07-29,14415.59,Active
ACC00346,CUST06883,BR055,Fixed Deposit,2020-08-16,68818.64,Dormant
ACC00347,CUST03085,BR006,Fixed Deposit,2021-05-09,25113.21,Closed
ACC00348,CUST01274,BR008,Savings,2023-08-19,6206.07,Active
ACC00349,CUST00062,BR049,Savings,2019-06-26,11537.99,Closed
ACC00350,CUST01051,BR024,Salary,2022-07-30,11505.58,Active
ACC00351,CUST01985,BR004,Salary,2025-07-31,16607.93,Closed
ACC00352,CUST03213,BR053,Savings,2022-05-02,83101.71,Active
ACC00353,CUST06414,BR051,Current,2023-07-27,85618.75,Dormant
ACC00354,CUST05267,BR040,Savings,2024-07-05,19073.5,Active
ACC00355,CUST03891,BR002,Savings,2022-10-15,21652.7,Dormant
ACC00356,CUST01430,BR005,Savings,2022-09-15,8934.93,Active
ACC00357,CUST03974,BR058,Savings,2020-03-26,21662.51,Dormant
ACC00358,CUST04667,BR060,Savings,2023-01-01,16987.06,Dormant
ACC00359,CUST02911,BR053,Current,2022-06-01,50147.23,Active
ACC00360,CUST05431,BR037,Salary,2021-10-24,7487.11,Dormant
ACC00361,CUST02165,BR055,Current,2023-11-16,61043.78,Dormant
ACC00362,CUST02467,BR047,Salary,2024-11-24,39062.46,Closed
ACC00363,CUST06811,BR010,Current,2022-05-16,32573.03,Active
ACC00364,CUST05369,BR040,Savings,2023-05-05,31619.86,Dormant
ACC00365,CUST03303,BR005,Fixed Deposit,2020-03-18,90588.85,Closed
ACC00366,CUST07115,BR055,Savings,2019-08-24,15350.47,Active
ACC00367,CUST03591,BR018,Current,2025-03-20,45437.47,Closed
ACC00368,CUST06634,BR001,Savings,2020-01-10,22277.52,Closed
ACC00369,CUST00324,BR010,Salary,2021-02-15,14305.13,Active
ACC00370,CUST03061,BR024,Savings,2024-03-18,10985.06,Dormant
ACC00371,CUST07048,BR052,Savings,2020-04-16,22517.75,Dormant
ACC00372,CUST01601,BR024,Current,2020-10-06,59754.41,Closed
ACC00373,CUST02103,BR047,Savings,2022-12-26,81310.4,Active
ACC00374,CUST03692,BR028,Fixed Deposit,2022-06-09,106464.03,Dormant
ACC00375,CUST04325,BR058,Savings,2020-02-04,152949.67,Dormant
ACC00376,CUST06497,BR024,Current,2025-12-25,16859.21,Closed
ACC00377,CUST04792,BR030,Savings,2023-01-25,48295.25,Closed
ACC00378,CUST07337,BR043,Savings,2022-06-13,25978.06,Active
ACC00379,CUST02615,BR060,Salary,2019-03-28,61874.42,Dormant
ACC00380,CUST06093,BR019,Savings,2020-04-12,10641.66,Active
ACC00381,CUST00011,BR050,Savings,2024-04-05,10344.91,Closed
ACC00382,CUST01749,BR052,Savings,2019-02-15,12842.9,Active
